id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Plataforma cómoda para ganar Company Name
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Amplia funcionalidad para inversión rentable.
3,indexHeaderText.slide2.title,Заголовок №2,Mercados disponibles para sus inversiones
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Gran selección de instrumentos comerciales para varias estrategias.
5,indexHeaderText.slide3.title,Заголовок №3,Interfaz conveniente y accesible
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"24 horas al día, acceso a las versiones móviles y de escritorio de la plataforma."
7,indexHeaderText.slide4.title,Заголовок №4,Términos de comercio favorables
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Variedad de planes arancelarios para diversos fines de inversión.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Company Name elegir
10,indexAdvantagesText.advantage1.title,Преимущество №1,Comerciantes novatos
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Una variedad de instrumentos de negociación y analítica le permite comprender el comercio desde cero.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Participantes experimentados
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Comisiones reducidas y mejores condiciones comerciales para el comercio en el mercado de corredores.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Grandes inversores
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Una opción de varias opciones de servicio para cualquier inversión.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Connoisseurs de la comodidad
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,La interfaz accesible de la plataforma proporciona condiciones cómodas para el comercio.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Viajeros
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La plataforma Company Name está disponible para negociar desde cualquier parte del mundo con acceso a Internet.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Expertos en inversión
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Una amplia gama de instrumentos comerciales le permite implementar varias estrategias.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Desbloquear el potencial con Company Name
23,indexBenefitsText.benefit1.title,Преимущество №1,Más de 200 instrumentos comerciales
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Elija entre las plataformas de inversión más rentables.
25,indexBenefitsText.benefit2.title,Преимущество №2,Trading seguro en la plataforma
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Company Name coopera con reguladores financieros de buena reputación
27,indexBenefitsText.benefit3.title,Преимущество №3,Ejecución instantánea de pedidos
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Nuestros servidores proporcionan un procesamiento de transacciones de alta velocidad.
29,indexBenefitsText.benefit4.title,Преимущество №4,Información confiable sobre las cotizaciones
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Los datos sobre los cambios en el tipo de cambio se publican desde fuentes oficiales.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Crear una cuenta en la plataforma Company Name
32,indexStepsText.step1.title,Шаг №1,Registro
33,indexStepsText.step1.text|dot,Описание Шага №1,Rellene sus datos personales sobre usted.
34,indexStepsText.step2.title,Шаг №2,Depositar
35,indexStepsText.step2.text|dot,Описание Шага №2,Repone su cuenta personal de una manera conveniente.
36,indexStepsText.step3.title,Шаг №3,Comercio
37,indexStepsText.step3.text|dot,Описание Шага №3,Invertir en varios instrumentos comerciales.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Tarifas
39,indexAccountsText.account1.title,Аккаунт №1,Standard
