id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Plate-forme confortable pour gérer Company Name
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Large fonctionnalité pour des investissements rentables.
3,indexHeaderText.slide2.title,Заголовок №2,Marchés disponibles pour vos investissements
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Grand choix d'instruments de négociation pour diverses stratégies.
5,indexHeaderText.slide3.title,Заголовок №3,Interface pratique et accessible
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,24 heures par jour Accès aux versions mobiles et de bureau de la plate-forme.
7,indexHeaderText.slide4.title,Заголовок №4,Termes de négociation favorables
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Variété de plans tarifaires à diverses fins d'investissement.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Company Name choisir
10,indexAdvantagesText.advantage1.title,Преимущество №1,Traders novices
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Une variété d'instruments de négociation et d'analyse vous permet de comprendre les négociations à partir de zéro.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Participants expérimentés
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Réduction des commissions et de meilleures conditions de négociation pour le commerce sur le marché des courtiers.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Grands investisseurs
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Un choix de plusieurs options de service à des fins d'investissement.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Connaisseurs de confort
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,L'interface accessible de la plate-forme offre des conditions confortables pour le commerce.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Voyageurs
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La plate-forme Company Name est disponible pour le commerce de partout dans le monde avec accès à Internet.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Experts en investissement
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Un large éventail d'instruments de trading vous permet de mettre en œuvre diverses stratégies.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Déverrouiller le potentiel avec Company Name
23,indexBenefitsText.benefit1.title,Преимущество №1,Plus de 200 instruments de trading
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Choisissez parmi les plates-formes d'investissement les plus rentables.
25,indexBenefitsText.benefit2.title,Преимущество №2,Échange de sécurité sur la plateforme
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Company Name coopère avec des régulateurs financiers réputés
27,indexBenefitsText.benefit3.title,Преимущество №3,Exécution instantanée des commandes
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Nos serveurs fournissent un traitement de transaction à grande vitesse.
29,indexBenefitsText.benefit4.title,Преимущество №4,Informations fiables sur les citations
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Les données sur les changements de taux de change sont publiées à partir de sources officielles.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Créer un compte sur la plate-forme Company Name
32,indexStepsText.step1.title,Шаг №1,Inscription
33,indexStepsText.step1.text|dot,Описание Шага №1,Remplissez vos données personnelles sur vous-même.
34,indexStepsText.step2.title,Шаг №2,Dépôt
35,indexStepsText.step2.text|dot,Описание Шага №2,Reconstituez votre compte personnel de manière pratique.
36,indexStepsText.step3.title,Шаг №3,Commerce
37,indexStepsText.step3.text|dot,Описание Шага №3,Investir dans divers instruments de trading.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Tarifs
39,indexAccountsText.account1.title,Аккаунт №1,Standard
