id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Komfortable Plattform zum Verdampfen Company Name
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Große Funktionalität für profitable Investitionen.
3,indexHeaderText.slide2.title,Заголовок №2,Verfügbare Märkte für Ihre Investitionen
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Große Auswahl an Handelsinstrumenten für verschiedene Strategien.
5,indexHeaderText.slide3.title,Заголовок №3,Bequeme und zugängliche Schnittstelle
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,24 Stunden am Tag Zugang zu den Mobil- und Desktop-Versionen der Plattform.
7,indexHeaderText.slide4.title,Заголовок №4,Günstige Handelsbedingungen
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Vielzahl von Tarifplänen für verschiedene Anlagezwecke.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Company Name Wähle
10,indexAdvantagesText.advantage1.title,Преимущество №1,Anfänger Händler
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Eine Vielzahl von Handels- und Analyseinstrumenten ermöglicht es Ihnen, den Handel von Grund zu verstehen."
12,indexAdvantagesText.advantage2.title,Преимущество №2,Erfahrene Teilnehmer
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Reduzierte Provisionen und bessere Handelsbedingungen für den Handel auf dem Broker-Markt.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Große Investoren
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Eine Auswahl mehrerer Serviceoptionen für Anlagezwecke.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Kenner des Komforts
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Die zugängliche Schnittstelle der Plattform bietet komfortable Handelsbedingungen.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Reisende
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Die Company Name -Tatreppe ist für den Handel von überall in der Welt mit Internetzugang erhältlich.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Experten in der Investition
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Mit einer Vielzahl von Handelsinstrumenten können Sie verschiedene Strategien umsetzen.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Entsperren Sie das Potenzial mit Company Name
23,indexBenefitsText.benefit1.title,Преимущество №1,Mehr als 200 Handelsinstrumente
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Wählen Sie aus den profitabelsten Investitionsplattformen.
25,indexBenefitsText.benefit2.title,Преимущество №2,Sicherer Handel auf der Plattform
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Company Name kooperiert mit seriösen Finanzaufsichtsbehörden
27,indexBenefitsText.benefit3.title,Преимущество №3,Sofortige Ausführung von Bestellungen
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Unsere Server bieten eine Hochgeschwindigkeits-Transaktionsabwicklung.
29,indexBenefitsText.benefit4.title,Преимущество №4,Zuverlässige Informationen über Zitate
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Daten zu Wechselkursänderungen werden aus offiziellen Quellen veröffentlicht.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Erstellen Sie ein Konto auf der Company Name -Plattform
32,indexStepsText.step1.title,Шаг №1,Anmeldung
33,indexStepsText.step1.text|dot,Описание Шага №1,Füllen Sie Ihre persönlichen Daten über sich selbst aus.
34,indexStepsText.step2.title,Шаг №2,Anzahlung
35,indexStepsText.step2.text|dot,Описание Шага №2,Füllen Sie Ihr persönliches Konto auf bequeme Weise auf.
