id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,舒适的赚钱平台Company Name
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,有利可图的投资功能范围。
3,indexHeaderText.slide2.title,Заголовок №2,可用市场为您的投资
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,各种策略的大型贸易仪器。
5,indexHeaderText.slide3.title,Заголовок №3,方便且可访问的界面
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,每天24小时访问移动和桌面版本的平台。
7,indexHeaderText.slide4.title,Заголовок №4,有利的贸易条目
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,各种投资目的的关税计划。
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Company Name选择
10,indexAdvantagesText.advantage1.title,Преимущество №1,新手交易员
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,各种交易和分析仪器允许您了解从头开始的交易。
12,indexAdvantagesText.advantage2.title,Преимущество №2,经验丰富的参与者
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,减少佣金和更好的交易交易交易条件。
14,indexAdvantagesText.advantage3.title,Преимущество №3,大投资者
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,有关任何投资目的的多种服务选项的选择。
16,indexAdvantagesText.advantage4.title,Преимущество №4,舒适的鉴赏家
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,该平台的可访问接口为交易提供了舒适的条件。
18,indexAdvantagesText.advantage5.title,Преимущество №5,旅行者
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Company Name平台可用于互联网接入的世界任何地方的交易。
20,indexAdvantagesText.advantage6.title,Преимущество №6,投资专家
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,各种交易仪器允许您实施各种策略。
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,用Company Name解锁潜力
23,indexBenefitsText.benefit1.title,Преимущество №1,超过200个交易工具
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,从最有利可图的投资平台中选择。
25,indexBenefitsText.benefit2.title,Преимущество №2,平台安全交易
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Company Name与信誉良好的金融监管机构合作。
27,indexBenefitsText.benefit3.title,Преимущество №3,即时执行订单
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,我们的服务器提供高速事务处理。
29,indexBenefitsText.benefit4.title,Преимущество №4,关于报价的可靠信息
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,关于汇率变更的数据从官方来源发布。
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,在Company Name平台上创建一个帐户
32,indexStepsText.step1.title,Шаг №1,登记
33,indexStepsText.step1.text|dot,Описание Шага №1,填写您的个​​人数据。
34,indexStepsText.step2.title,Шаг №2,订金
35,indexStepsText.step2.text|dot,Описание Шага №2,以方便的方式补充您的个人帐户。
36,indexStepsText.step3.title,Шаг №3,贸易
37,indexStepsText.step3.text|dot,Описание Шага №3,投资各种贸易工具。
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,关税
39,indexAccountsText.account1.title,Аккаунт №1,Standard
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,访问平台上的主要贸易仪器。
41,indexAccountsText.account2.title,Аккаунт №2,Advanced
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,市场动态的全功能和统计。
43,indexAccountsText.account3.title,Аккаунт №3,Premium
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,VIP服务和有利的贸易条目。
45,indexAccountsText.account_condition_1,Минимальный депозит:,最低存款
