id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Wygodna platforma do zarabiania Company Name
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Szeroka funkcjonalność dochodowych inwestycji.
3,indexHeaderText.slide2.title,Заголовок №2,Dostępne rynki do inwestycji
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Duży wybór instrumentów handlowych do różnych strategii.
5,indexHeaderText.slide3.title,Заголовок №3,Wygodny i dostępny interfejs
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,24 godziny dziennie dostęp do wersji platformy mobilnej i pulpitu.
7,indexHeaderText.slide4.title,Заголовок №4,Korzystne warunki handlowe
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Różnorodność planów taryfowych dla różnych celów inwestycyjnych.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Company Name Wybierz
10,indexAdvantagesText.advantage1.title,Преимущество №1,Handlowcy nowicjuszy
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Różnorodność instrumentów handlowych i analitycznych pozwala zrozumieć handel od podstaw.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Doświadczeni uczestnicy
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Zmniejszone prowizje i lepsze warunki handlowe do obrotu na rynku brokerskim.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Dużych inwestorów
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Wybór kilku opcji usług dla wszelkich celów inwestycyjnych.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Koneserzy komfortu
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Dostępny interfejs platformy zapewnia komfortowe warunki handlu.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Podróżni
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Platforma Company Name jest dostępna do obrotu z dowolnego miejsca na świecie z dostępem do Internetu.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Eksperci w inwestowaniu
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Szeroka gama instrumentów handlowych pozwala wdrożyć różne strategie.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Odblokuj potencjał Company Name
23,indexBenefitsText.benefit1.title,Преимущество №1,Ponad 200 instrumentów handlowych
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Wybierz z najbardziej dochodowych platform inwestycyjnych.
25,indexBenefitsText.benefit2.title,Преимущество №2,Bezpieczny handel na platformie
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Company Name Współpracuje z renomowanymi regulacjami finansowymi
27,indexBenefitsText.benefit3.title,Преимущество №3,Natychmiastowa wykonanie zamówień
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Nasze serwery zapewniają przetwarzanie transakcji o dużej prędkości.
29,indexBenefitsText.benefit4.title,Преимущество №4,Wiarygodne informacje o cytatach
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Dane dotyczące zmian kursów wymiany są publikowane z oficjalnych źródeł.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Utwórz konto na platformie Company Name
32,indexStepsText.step1.title,Шаг №1,Rejestracja
33,indexStepsText.step1.text|dot,Описание Шага №1,Wypełnij swoje dane osobowe o sobie.
34,indexStepsText.step2.title,Шаг №2,Depozyt
35,indexStepsText.step2.text|dot,Описание Шага №2,Uzupełniaj swoje konto osobiste w wygodny sposób.
36,indexStepsText.step3.title,Шаг №3,Handlowy
37,indexStepsText.step3.text|dot,Описание Шага №3,Zainwestuj w różne instrumenty handlowe.
